tg,gi_obs,gi_temp,gi_temp_var
0.062829,1.0956472852324475,-0.018468,0.046621
0.16283,1.1002162297430358,-0.013559,0.046322
0.26283,1.1048006585553927,-0.0085606,0.046019
0.36283,1.1094906017320736,-0.0034732,0.045715
0.46283,1.1141805449087547,0.0017034,0.045412
0.56283,1.1189406818215772,0.0069692,0.045112
0.66283,1.1237423450939794,0.012324,0.044817
0.76283,1.1285571712476579,0.017768,0.044529
0.86283,1.1334614290740443,0.023301,0.044253
0.96283,1.1383656869004308,0.028922,0.04399
1.0628,1.1433272966074663,0.034632,0.043743
1.1628,1.1483252218828925,0.040431,0.043517
1.2628,1.1533340192863266,0.046319,0.043315
1.3628,1.1584168830618142,0.052295,0.04314
1.4628,1.1634997468373018,0.058359,0.042996
1.5628,1.1686305944764557,0.064512,0.042888
1.6628,1.1737898656781631,0.070752,0.04282
1.7628,1.1789578503450462,0.077081,0.042795
1.8628,1.1841851954934375,0.083498,0.042818
1.9628,1.1894125406418288,0.090003,0.042895
2.0628,1.1946775267164556,0.096595,0.043027
2.1628,1.1999648096454765,0.10327,0.043221
2.2628,1.2052587484013415,0.11004,0.04348
2.3628,1.2105980299775838,0.1169,0.043807
2.4628,1.215937311553826,0.12384,0.044207
2.5628,1.2213043860648884,0.13087,0.044682
2.6628,1.226687923906768,0.13798,0.045236
2.7628,1.232076160674093,0.14519,0.045871
2.8628,1.2374964088710152,0.15247,0.046589
2.9628,1.242916657067937,0.15985,0.047393
3.0628,1.2483553437433972,0.16731,0.048283
3.1628,1.253804952574934,0.17486,0.049261
3.2628,1.259257403879881,0.18249,0.050328
3.3628,1.2647292195349353,0.19021,0.051484
3.4628,1.2702010351899895,0.19802,0.052728
3.5628,1.2756824269915463,0.20591,0.054062
3.6628,1.2811694912875284,0.21388,0.055484
3.7628,1.2866576417666804,0.22194,0.056995
3.8628,1.292153191868678,0.23008,0.058592
3.9628,1.2976487419706755,0.23831,0.060276
4.0628,1.3031454966005045,0.24663,0.062046
4.1628,1.30864296474045,0.25502,0.063901
4.2628,1.3141398626475518,0.2635,0.065839
4.3628,1.3196328758434024,0.27206,0.067861
4.4628,1.325125889039253,0.28071,0.069964
4.5628,1.3306122244467464,0.28944,0.072148
4.6628,1.336094604221646,0.29825,0.074412
4.7628,1.3415748569343444,0.30715,0.076755
4.8628,1.3470406190357986,0.3161,0.076022
4.9628,1.3525063811372526,0.32505,0.073878
5.0628,1.3579580710257544,0.33399,0.071847
5.1628,1.3634014251448,0.34292,0.069933
5.2628,1.3688411946713763,0.35184,0.06814
5.3628,1.3742565441617562,0.36075,0.066474
5.4628,1.3796718936521364,0.36964,0.064938
5.5628,1.3850662629856838,0.37853,0.063535
5.6628,1.3904482045830182,0.3874,0.062268
5.7628,1.3958252030691352,0.39626,0.061139
5.8628,1.4011685266100837,0.4051,0.060149
5.9628,1.4065118501510323,0.41394,0.059298
6.0628,1.4118277706610936,0.42275,0.058585
6.1628,1.41712745880254,0.43156,0.058008
6.2628,1.4224209440379725,0.44035,0.057564
6.3628,1.4276721719761838,0.44912,0.057249
6.4628,1.4329233999143953,0.45788,0.057056
6.5628,1.4381412856066103,0.46662,0.05698
6.6628,1.4433394207964194,0.47534,0.057013
6.7628,1.4485301917218003,0.48404,0.057148
6.8628,1.453670793595763,0.49273,0.057376
6.9628,1.4588113954697257,0.5014,0.057688
7.0628,1.4639131981306404,0.51004,0.058076
7.1628,1.4689920178182212,0.51867,0.05853
7.2628,1.4740624100317736,0.52728,0.059042
7.3628,1.479075390078508,0.53586,0.059602
7.4628,1.4840883701252428,0.54442,0.060203
7.5628,1.489057574829054,0.55296,0.060836
7.6628,1.4940008489157197,0.56147,0.061493
7.7628,1.4989347301800016,0.56996,0.062167
7.8628,1.5038046228417947,0.57842,0.062851
7.9628,1.5086745155035877,0.58686,0.063539
8.0628,1.5134961361188763,0.59527,0.064223
8.1628,1.5182891624645798,0.60365,0.064899
8.2628,1.5230719282132206,0.612,0.065562
8.3628,1.5277847936443734,0.62033,0.066205
8.4628,1.5324976590755262,0.62862,0.066826
8.5628,1.5371582337719998,0.63688,0.067419
8.6628,1.5417878337020707,0.6451,0.067981
8.7628,1.5464064025465079,0.6533,0.068508
8.8628,1.550949822120064,0.66145,0.068998
8.9628,1.5554932416936198,0.66958,0.069447
9.0628,1.5599808284488468,0.67766,0.069853
9.1628,1.5644353422607324,0.68571,0.070214
9.2628,1.568878151496952,0.69371,0.070528
9.3628,1.5732412233114481,0.70168,0.070792
9.4628,1.5776042951259444,0.70961,0.071006
9.5628,1.5819084672320993,0.71749,0.071169
9.6628,1.5861777497021035,0.72533,0.071279
9.7628,1.5904347508173795,0.73312,0.071336
9.8628,1.5946080852035716,0.74087,0.071338
9.9628,1.5987814195897636,0.74857,0.071287
10.063,1.60290141199214,0.75622,0.071182
10.163,1.6069768278821608,0.76383,0.071023
10.263,1.6110392826600684,0.77138,0.07081
10.363,1.6150149976876809,0.77887,0.070545
10.463,1.6189907127152932,0.78632,0.070228
10.563,1.6229026116009995,0.79371,0.06986
10.663,1.6267770311652687,0.80104,0.069443
10.763,1.6306380993941623,0.80831,0.068978
10.863,1.6344098163786185,0.81553,0.068467
10.963,1.6381815333630747,0.82268,0.067912
11.063,1.6418877791771702,0.82978,0.067316
11.163,1.6455555736689906,0.83681,0.066681
11.263,1.6492097239480663,0.84377,0.066009
11.363,1.6527725629572358,0.85067,0.065305
11.463,1.6563354019664052,0.8575,0.064571
11.563,1.6598315858222437,0.86426,0.063811
11.663,1.6632886230007289,0.87096,0.063028
11.763,1.6667318201429318,0.87758,0.062226
11.863,1.6700823955038602,0.88413,0.06141
11.963,1.6734329708647884,0.8906,0.060585
12.063,1.6767161767195276,0.897,0.059753
12.163,1.6799598163563458,0.90332,0.058921
12.263,1.6831895168951125,0.90957,0.058093
12.363,1.6863259327007643,0.91574,0.057274
12.463,1.6894623485064162,0.92182,0.056469
12.563,1.6925311486677523,0.92783,0.055683
12.663,1.695560238053855,0.93375,0.054921
12.763,1.6985753857498447,0.93959,0.054187
12.863,1.7014972313658456,0.94534,0.053487
12.963,1.7044190769818466,0.95101,0.052826
13.063,1.707273527614758,0.95659,0.052206
13.163,1.7100883970671243,0.96209,0.051633
13.263,1.7128894184149615,0.9675,0.05111
13.363,1.7155977639863322,0.97281,0.050639
13.463,1.718306109557703,0.97804,0.050223
13.563,1.720947746191186,0.98318,0.049865
13.663,1.7235502045595603,0.98822,0.049564
13.763,1.7261390042945726,0.99318,0.049321
13.863,1.7286363962524702,0.99804,0.049137
13.963,1.7311337882103677,1.0028,0.049011
14.063,1.7335656212441795,1.0075,0.04894
14.163,1.7359589514178135,1.0121,0.048922
14.263,1.7383389080227742,1.0166,0.048955
14.363,1.740629364591227,1.0209,0.049036
14.463,1.7429198211596797,1.0252,0.04916
14.563,1.7451463313710713,1.0294,0.049324
14.663,1.7473352857854587,1.0336,0.049523
14.763,1.7495112469973204,1.0376,0.049753
14.863,1.751600253699971,1.0415,0.050008
14.963,1.7536892604026217,1.0453,0.050285
15.063,1.7557163944530811,1.049,0.050578
15.163,1.7577071905966979,1.0527,0.050882
15.263,1.7596854689133339,1.0562,0.051193
15.363,1.7615799740801756,1.0597,0.051507
15.463,1.7634744792470174,1.063,0.05182
15.563,1.765309645189006,1.0663,0.052127
15.663,1.767109961110049,1.0695,0.052425
15.763,1.7688983292969915,1.0725,0.05271
15.863,1.770606739571109,1.0755,0.052979
15.963,1.772315149845226,1.0784,0.05323
16.063,1.7739672126289192,1.0813,0.053459
16.163,1.7755861824420456,1.084,0.053666
16.263,1.7771938690392255,1.0866,0.053846
16.363,1.7787260448835325,1.0892,0.054
16.463,1.78025822072784,1.0916,0.054125
16.563,1.7817374977078628,1.094,0.054221
16.663,1.7831857071009252,1.0963,0.054286
16.763,1.7846233919294066,1.0985,0.05432
16.863,1.7859906431333834,1.1007,0.054322
16.963,1.7873578943373603,1.1027,0.054292
17.063,1.7886761507795306,1.1047,0.05423
17.163,1.7899656325203224,1.1066,0.054136
17.263,1.7912454421890474,1.1084,0.054011
17.363,1.7924605233754798,1.1102,0.053855
17.463,1.7936756045619122,1.1119,0.053669
17.563,1.7948460491499751,1.1135,0.053453
17.663,1.7959902785929642,1.115,0.053209
17.763,1.797125782005489,1.1165,0.052937
17.863,1.7982028881372125,1.1179,0.052638
17.963,1.7992799942689361,1.1192,0.052315
18.063,1.8003172746113063,1.1205,0.051968
18.163,1.8013311652043735,1.1217,0.051598
18.263,1.8023373690656042,1.1228,0.051207
18.363,1.8032921309522334,1.1239,0.050797
18.463,1.8042468928388626,1.1249,0.050369
18.563,1.8051670909753599,1.1258,0.049924
18.663,1.8060669897665416,1.1267,0.049464
18.763,1.806960334089477,1.1276,0.048991
18.863,1.8078098138941505,1.1284,0.048507
18.963,1.8086592936988237,1.1291,0.048013
19.063,1.8094799216074136,1.1298,0.04751
19.163,1.8102836047516369,1.1304,0.047
19.263,1.8110819583641067,1.131,0.046485
19.363,1.8118446451102257,1.1315,0.045967
19.463,1.812607331856345,1.132,0.045446
19.563,1.8133473269598772,1.1325,0.044925
19.663,1.8140739952257,1.1329,0.044405
19.763,1.8147966512771012,1.1332,0.043887
19.863,1.8154924563550678,1.1335,0.043373
19.963,1.8161882614330342,1.1338,0.042864
